['201911072', [0.24, 0.76, 355], [0.39, 0.61, 33], [0.89, 0.11, 62], [0.26, 0.0, 0.0, 0.74, 23], [4], [0, 125, 0, 7]]
['201911074', [0.5, 0.5, 150], [0.33, 0.67, 27], [0.96, 0.04, 25], [0.09, 0.0, 0.0, 0.91, 11], [0], [1, 69, 0, 1]]
['201911076', [0.36, 0.64, 387], [0.44, 0.56, 48], [0.85, 0.15, 74], [0.74, 0.0, 0.0, 0.26, 19], [0], [6, 172, 1, 11]]
['201911077', [0.39, 0.61, 394], [0.36, 0.64, 44], [0.9, 0.1, 68], [0.24, 0.0, 0.09, 0.68, 34], [1], [1, 156, 0, 7]]
['201911078', [0.17, 0.83, 386], [0.38, 0.62, 32], [0.94, 0.06, 71], [0.2, 0.04, 0.0, 0.76, 25], [2], [4, 143, 1, 4]]
['201911079', [0.35, 0.65, 333], [0.5, 0.5, 60], [0.85, 0.15, 62], [0.21, 0.14, 0.0, 0.64, 28], [1], [13, 135, 0, 9]]
['201911080', [0.18, 0.82, 437], [0.21, 0.79, 43], [0.84, 0.16, 90], [0.32, 0.0, 0.46, 0.22, 41], [0], [1, 170, 0, 14]]
['201911081', [0.55, 0.45, 454], [0.54, 0.46, 37], [0.86, 0.14, 78], [0.06, 0.0, 0.0, 0.94, 36], [2], [0, 178, 0, 11]]
['201911082', [0.33, 0.67, 424], [0.44, 0.56, 54], [0.91, 0.09, 89], [0.11, 0.09, 0.34, 0.46, 56], [5], [1, 172, 0, 8]]
['201911084', [0.18, 0.82, 256], [0.53, 0.47, 38], [0.81, 0.19, 48], [0.18, 0.36, 0.27, 0.18, 11], [1], [12, 115, 0, 9]]
['201911085', [0.33, 0.67, 170], [0.74, 0.26, 27], [0.74, 0.26, 39], [0.5, 0.38, 0.0, 0.12, 8], [2], [6, 93, 1, 10]]
['201911087', [0.39, 0.61, 300], [0.6, 0.4, 40], [0.84, 0.16, 56], [0.18, 0.06, 0.18, 0.59, 17], [2], [0, 123, 0, 9]]
['201911088', [0.71, 0.29, 49], [0.42, 0.58, 12], [1.0, 0.0, 7], [0.11, 0.0, 0.11, 0.78, 9], [0], [0, 17, 0, 0]]
